# ESTAR: Stopping Powers and Range Tables for Electrons
# 
# AIR, DRY (NEAR SEA LEVEL)                                              
#
# Kinetic  	Collision	Radiative	Total    	D. Effect	
# Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	Parameter	
# MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	         	
#
3.500E+03	2.777E+00	9.414E+01	9.692E+01	7.079E+00
3.783E+03	2.783E+00	1.018E+02	1.046E+02	7.233E+00
4.000E+03	2.788E+00	1.077E+02	1.105E+02	7.343E+00
4.103E+03	2.790E+00	1.105E+02	1.133E+02	7.394E+00
4.449E+03	2.796E+00	1.199E+02	1.227E+02	7.554E+00
4.500E+03	2.797E+00	1.213E+02	1.241E+02	7.577E+00
4.824E+03	2.802E+00	1.301E+02	1.329E+02	7.715E+00
5.000E+03	2.805E+00	1.348E+02	1.376E+02	7.787E+00
5.231E+03	2.808E+00	1.411E+02	1.439E+02	7.877E+00
5.672E+03	2.815E+00	1.531E+02	1.559E+02	8.038E+00
6.000E+03	2.819E+00	1.620E+02	1.648E+02	8.150E+00
6.151E+03	2.821E+00	1.661E+02	1.689E+02	8.199E+00
6.670E+03	2.827E+00	1.802E+02	1.830E+02	8.361E+00
7.000E+03	2.831E+00	1.891E+02	1.919E+02	8.457E+00
7.233E+03	2.833E+00	1.954E+02	1.983E+02	8.522E+00
7.843E+03	2.840E+00	2.120E+02	2.148E+02	8.684E+00
8.000E+03	2.841E+00	2.163E+02	2.191E+02	8.723E+00
8.504E+03	2.846E+00	2.300E+02	2.328E+02	8.845E+00
9.000E+03	2.850E+00	2.434E+02	2.463E+02	8.959E+00
9.222E+03	2.852E+00	2.494E+02	2.523E+02	9.007E+00
1.000E+04	2.858E+00	2.706E+02	2.734E+02	9.169E+00
